x, y, validity, timestamp (us)
1509.98, 621.453, 1, 177619515328
1509.71, 625.169, 1, 177619545597
1509.04, 626.836, 1, 177619575750
1508.24, 629.115, 1, 177619605998
1552.85, 639.037, 1, 177619636151
1614.34, 654.22, 1, 177619666383
1662.13, 666.119, 1, 177619696631
1696.35, 675.026, 1, 177619726802
1719.28, 684.806, 1, 177619757061
1733.92, 691.167, 1, 177619787214
1744.08, 693.107, 1, 177619817560
1751.47, 694.075, 1, 177619847617
1753.63, 690.893, 1, 177619877972
1751.54, 687.457, 1, 177619908221
1750.79, 685.158, 1, 177619938355
1750.98, 683.038, 1, 177619968605
1750.6, 681.928, 1, 177619998767
1751.03, 682.736, 1, 177620029034
1750.68, 683.601, 1, 177620059187
1750.64, 683.341, 1, 177620089437
1750.77, 683.265, 1, 177620119590
1751.63, 683.281, 1, 177620149839
1753.72, 683.324, 1, 177620180001
1755.59, 683.018, 1, 177620210250
1757.47, 683.21, 1, 177620240403
1758.66, 683.305, 1, 177620270731
1759.6, 683.045, 1, 177620300971
1760.99, 683.004, 1, 177620331133
1762.64, 683.134, 1, 177620361180
1764.4, 682.765, 1, 177620391544
1766.21, 681.668, 1, 177620421794
1768.32, 679.387, 1, 177620451947
1770.77, 676.733, 1, 177620482196
1773.16, 673.03, 1, 177620512340
1774.55, 670.108, 1, 177620542589
1757.14, 667.285, 1, 177620572742
1613.91, 643.047, 1, 177620603069
1349.99, 581.936, 1, 177620633204
1187.22, 545.505, 1, 177620663366
1105.45, 522.798, 1, 177620693431
1065.62, 508.347, 1, 177620723680
1042.97, 505.21, 1, 177620754026
1034.13, 507.683, 1, 177620784179
1028.76, 512.328, 1, 177620814429
1024.52, 514.451, 1, 177620844563
1023.16, 516.925, 1, 177620874804
1018.77, 517.39, 1, 177620904957
1019.43, 490.196, 1, 177620935206
1021.53, 460.383, 1, 177620965331
1020.58, 440.045, 1, 177620995581
1019.28, 424.291, 1, 177621025715
1017.02, 410.486, 1, 177621055945
1015.23, 398.521, 1, 177621086089
1014.61, 391.077, 1, 177621116329
1018.93, 418.836, 1, 177621146482
1025.82, 483.785, 1, 177621176714
1033.28, 561.17, 1, 177621206876
1038.41, 617.536, 1, 177621237124
1043.92, 651.293, 1, 177621267286
1046.43, 670.115, 1, 177621297536
1038.51, 669.535, 1, 177621327717
1030.78, 662.367, 1, 177621357975
1023.23, 659.318, 1, 177621388118
1020.39, 657.415, 1, 177621418377
1017.38, 656.865, 1, 177621448539
1015.35, 656.54, 1, 177621478885
1013.67, 655.666, 1, 177621508983
1013.2, 656.24, 1, 177621539233
1011.47, 657.077, 1, 177621569395
1010.9, 656.676, 1, 177621599644
1010.64, 656.296, 1, 177621629999
1010.39, 655.913, 1, 177621660065
1010.21, 655.248, 1, 177621690411
1010.18, 654.184, 1, 177621720466
1010.32, 652.956, 1, 177621750821
1010.17, 651.594, 1, 177621780878
1010.35, 650.353, 1, 177621811224
1010.93, 648.913, 1, 177621841290
1011.55, 647.845, 1, 177621871654
1011.69, 647.511, 1, 177621901807
1011.98, 647.641, 1, 177621932056
1012.13, 647.587, 1, 177621962402
1012.29, 647.898, 1, 177621992468
1012.56, 647.934, 1, 177622022716
1012.73, 647.834, 1, 177622052851
1012.7, 647.797, 1, 177622083206
1012.89, 647.604, 1, 177622113281
1013.36, 647.723, 1, 177622143415
1013.5, 647.827, 1, 177622173665
1013.74, 647.871, 1, 177622204011
1014.12, 647.323, 1, 177622234058
1014.2, 647.206, 1, 177622264404
1014.16, 647.555, 1, 177622294479
1014.37, 647.984, 1, 177622324825
1014.49, 648.157, 1, 177622353550
1014.75, 648.625, 1, 177622383896
1015.29, 649.27, 1, 177622413953
1015.62, 649.924, 1, 177622444299
996.266, 642.145, 1, 177622474365
929.151, 618.552, 1, 177622504628
853.329, 600.813, 1, 177622534992
798.181, 574.753, 1, 177622565145
762.298, 545.758, 1, 177622595454
741.009, 518.387, 1, 177622625491
727.599, 493.385, 1, 177622655847
717.893, 475.562, 1, 177622685903
741.28, 449.035, 1, 177622716249
850.172, 388.371, 1, 177622746489
945.465, 329.939, 1, 177622776641
1005.28, 292.226, 1, 177622806680
1040.12, 271.404, 1, 177622836948
1057.62, 261.843, 1, 177622867101
1067.81, 256.23, 1, 177622897437
1071.45, 254.011, 1, 177622927493
1072.44, 252.571, 1, 177622957734
1074.92, 251.082, 1, 177622988089
1076.01, 251.355, 1, 177623018242
1077.01, 251.498, 1, 177623048279
1071.37, 246.307, 1, 177623078625
1064, 240.902, 1, 177623108700
1059.45, 238.324, 1, 177623139037
1054.35, 235.852, 1, 177623169093
1050.03, 233.478, 1, 177623199351
1046.37, 230.545, 1, 177623229697
1043.85, 228.116, 1, 177623259859
1042.21, 225.555, 1, 177623289897
1041.5, 223.197, 1, 177623320216
1040.86, 221.86, 1, 177623350359
1040.35, 221.102, 1, 177623380617
1039.69, 220.589, 1, 177623410867
1039.52, 219.785, 1, 177623440933
1039.24, 219.649, 1, 177623471279
1039.08, 219.983, 1, 177623501441
1038.96, 220.054, 1, 177623531524
1039.03, 220.383, 1, 177623561774
1038.87, 219.983, 1, 177623592111
1038.99, 219.428, 1, 177623622264
1038.58, 218.963, 1, 177623652513
1038.78, 218.439, 1, 177623682675
1038.47, 217.621, 1, 177623712933
1038.58, 216.993, 1, 177623743068
1038.12, 216.323, 1, 177623773327
1038.08, 215.288, 1, 177623803461
1038.26, 214.192, 1, 177623833701
1037.76, 213.467, 1, 177623863844
1037.07, 212.862, 1, 177623894200
1036.79, 212.272, 1, 177623924219
1036.67, 211.857, 1, 177623954487
1036.52, 211.236, 1, 177623984630
1036.26, 211.201, 1, 177624014862
1036.23, 211.193, 1, 177624045014
1036.43, 211.574, 1, 177624075255
1036.44, 211.891, 1, 177624105610
1036.47, 212.138, 1, 177624135657
1036.42, 212.221, 1, 177624166003
1036.39, 211.971, 1, 177624196165
1036.36, 211.725, 1, 177624226396
1036.34, 211.829, 1, 177624256531
1036.3, 212.097, 1, 177624286604
1036.19, 212.562, 1, 177624316960
1035.67, 213.233, 1, 177624347219
1035.22, 213.835, 1, 177624377381
1034.52, 214.535, 1, 177624407649
1033.54, 215.203, 1, 177624437783
1025.54, 217.989, 1, 177624468032
973.937, 228.497, 1, 177624498176
909.718, 239.902, 1, 177624528435
856.271, 247.594, 1, 177624558587
819.97, 251.748, 1, 177624588827
794.842, 253.676, 1, 177624618989
777.039, 253.604, 1, 177624649230
767.791, 254.481, 1, 177624679392
764.922, 250.62, 1, 177624709651
758.802, 249.49, 1, 177624739804
754.318, 249.089, 1, 177624770043
751.788, 249.001, 1, 177624800187
750.069, 249.007, 1, 177624830446
748.748, 249.254, 1, 177624860598
747.694, 251.415, 1, 177624890963
746.644, 254.825, 1, 177624921221
746.321, 259.574, 1, 177624951305
785.923, 304.371, 1, 177624981546
847.637, 370.922, 1, 177625011643
891.454, 416.589, 1, 177625042008
920.478, 442.294, 1, 177625072170
938.526, 458.867, 1, 177625102225
950.498, 470.54, 1, 177625132581
955.119, 476.559, 1, 177625162936
959.124, 494.485, 1, 177625192992
960.773, 510.577, 1, 177625223329
961.566, 520.174, 1, 177625253385
965.527, 525.456, 1, 177625283740
968.018, 529.263, 1, 177625313806
968.174, 532.257, 1, 177625344152
969.203, 535.173, 1, 177625374199
969.249, 537.391, 1, 177625404545
969.848, 538.556, 1, 177625434803
970.526, 539.082, 1, 177625464956
971.739, 539.644, 1, 177625495206
972.119, 540.219, 1, 177625525368
972.296, 540.798, 1, 177625555732
972.697, 540.332, 1, 177625585769
973.051, 539.374, 1, 177625616115
973.249, 538.692, 1, 177625646181
973.151, 538.165, 1, 177625676527
972.861, 537.806, 1, 177625706574
972.533, 537.558, 1, 177625736920
972.373, 537.505, 1, 177625766985
972.359, 537.416, 1, 177625797331
972.416, 537.313, 1, 177625827484
972.482, 537.113, 1, 177625857734
972.352, 536.639, 1, 177625887799
972.38, 536.443, 1, 177625918145
971.988, 536.445, 1, 177625948279
971.801, 536.551, 1, 177625978529
971.349, 536.456, 1, 177626008682
971.074, 536.481, 1, 177626038932
970.738, 537.159, 1, 177626069277
970.761, 538.085, 1, 177626099333
970.495, 539.04, 1, 177626129670
969.786, 540.396, 1, 177626159726
969.122, 541.697, 1, 177626190072
968.347, 542.737, 1, 177626220128
968.042, 543.693, 1, 177626250474
967.658, 544.623, 1, 177626280522
967.038, 545.441, 1, 177626310867
966.292, 545.538, 1, 177626340924
966.16, 545.171, 1, 177626371270
966.003, 544.872, 1, 177626401441
965.306, 544.698, 1, 177626431690
964.824, 544.287, 1, 177626462027
964.414, 543.45, 1, 177626492084
964.215, 542.641, 1, 177626522236
963.711, 541.853, 1, 177626552485
963.582, 541.869, 1, 177626582831
963.504, 541.854, 1, 177626612878
963.375, 541.771, 1, 177626643225
963.391, 541.655, 1, 177626673377
963.221, 541.676, 1, 177626703636
963.282, 541.658, 1, 177626733692
963.197, 541.572, 1, 177626764038
963.121, 541.253, 1, 177626794191
963.094, 540.86, 1, 177626824441
963.018, 540.195, 1, 177626854602
962.834, 539.284, 1, 177626884851
962.704, 538.302, 1, 177626915004
962.747, 536.877, 1, 177626945263
962.812, 535.296, 1, 177626975398
963.074, 533.825, 1, 177627005647
962.634, 532.996, 1, 177627035809
962.464, 530.968, 1, 177627066040
962.177, 535.142, 1, 177627096404
-1920, -1080, 0, 177627126442
-1920, -1080, 0, 177627156880
-1920, -1080, 0, 177627187245
-1920, -1080, 0, 177627217563
992.22, 468.577, 1, 177627247734
960.93, 551.488, 1, 177627278614
966.826, 576.452, 1, 177627308647
974.028, 575.626, 1, 177627338445
973.413, 577.739, 1, 177627368253
969.894, 584.45, 1, 177627398388
967.117, 592.544, 1, 177627428435
963.655, 598.888, 1, 177627458702
962.784, 599.672, 1, 177627488864
961.167, 598.201, 1, 177627519114
960.251, 595.539, 1, 177627549469
959.741, 592.675, 1, 177627579594
959.513, 589.009, 1, 177627609834
958.889, 584.243, 1, 177627639900
957.571, 578.327, 1, 177627670237
956.139, 573.204, 1, 177627700399
954.764, 568.636, 1, 177627730639
953.098, 564.74, 1, 177627760792
951.706, 562.107, 1, 177627791050
951.009, 561.112, 1, 177627821203
950.613, 560.88, 1, 177627851453
950.454, 560.988, 1, 177627881615
951.622, 561.894, 1, 177627911854
952.297, 561.834, 1, 177627942016
953.023, 561.297, 1, 177627972275
954.346, 560.189, 1, 177628002437
955.598, 558.667, 1, 177628032765
956.66, 556.663, 1, 177628062831
957.167, 555.318, 1, 177628093167
957.731, 554.163, 1, 177628123426
958.541, 553.544, 1, 177628153587
960.079, 553.141, 1, 177628183837
960.905, 552.997, 1, 177628213999
961.945, 553.261, 1, 177628244248
963.037, 553.875, 1, 177628274410
963.397, 554.212, 1, 177628304660
964.449, 554.821, 1, 177628334822
965.611, 555.38, 1, 177628365072
966.472, 555.765, 1, 177628395224
967.362, 556.383, 1, 177628425483
968.319, 556.677, 1, 177628455635
968.822, 556.526, 1, 177628485867
968.914, 555.63, 1, 177628516029
968.585, 554.773, 1, 177628546384
968.975, 553.414, 1, 177628576633
969.15, 552.428, 1, 177628606786
968.757, 551.573, 1, 177628636851
968.262, 551.022, 1, 177628667197
967.863, 550.703, 1, 177628697447
967.483, 550.204, 1, 177628727591
967.155, 549.84, 1, 177628757840
966.491, 549.195, 1, 177628788001
965.915, 548.758, 1, 177628818058
965.695, 548.573, 1, 177628848404
965.263, 547.88, 1, 177628878653
964.878, 547.341, 1, 177628908815
964.556, 546.433, 1, 177628939046
963.315, 545.576, 1, 177628969199
962.624, 545.415, 1, 177628999440
962.204, 545.297, 1, 177629029592
961.422, 544.952, 1, 177629059850
960.685, 544.39, 1, 177629089985
960.145, 543.09, 1, 177629120216
959.211, 541.013, 1, 177629150378
959.08, 539.032, 1, 177629180627
958.496, 538.471, 1, 177629210761
957.412, 538.94, 1, 177629241117
956.258, 539.128, 1, 177629271366
955.396, 539.108, 1, 177629301519
954.648, 538.864, 1, 177629331760
953.643, 538.2, 1, 177629361913
952.551, 537.147, 1, 177629391977
951.08, 535.846, 1, 177629422323
949.398, 533.967, 1, 177629452389
948.146, 532.359, 1, 177629482735
920.902, 537.445, 1, 177629512993
836.455, 549.496, 1, 177629543146
746.812, 561.742, 1, 177629573405
679.039, 570.433, 1, 177629603549
635.002, 576.569, 1, 177629633799
608.44, 578.543, 1, 177629663960
590.717, 578.307, 1, 177629694288
578.477, 577.748, 1, 177629724353
572.454, 574.291, 1, 177629754603
562.94, 564.864, 1, 177629784765
557.727, 520.36, 1, 177629815092
552.438, 465.147, 1, 177629845157
545.512, 416.017, 1, 177629875398
538.9, 383.391, 1, 177629905550
533.967, 363.539, 1, 177629935598
532.215, 350.112, 1, 177629965953
529.587, 341.641, 1, 177629995999
525.64, 337.363, 1, 177630026336
523.937, 334.521, 1, 177630056692
523.136, 332.868, 1, 177630086739
521.894, 331.984, 1, 177630116988
520.465, 331.712, 1, 177630147131
519.432, 327.271, 1, 177630177486
526.093, 304.041, 1, 177630207552
532.061, 279.761, 1, 177630237907
536.248, 260.091, 1, 177630268069
539.473, 244.731, 1, 177630298328
542.019, 233.227, 1, 177630328393
542.263, 226.429, 1, 177630358643
541.87, 219.508, 1, 177630388805
543.529, 212.426, 1, 177630419063
544.599, 210.277, 1, 177630449225
544.57, 210.879, 1, 177630479553
543.741, 210.145, 1, 177630509618
544.093, 207.984, 1, 177630539868
543.862, 204.727, 1, 177630570030
543.068, 202.586, 1, 177630600270
543.332, 203.494, 1, 177630630423
542.931, 204.011, 1, 177630660769
542.689, 203.799, 1, 177630690816
542.859, 203.525, 1, 177630721153
543.561, 203.541, 1, 177630751199
543.854, 203.408, 1, 177630781527
